NOM_AGENT_INSTRUMENT	VERBE	NOMINALISATION	pVbAg	pVbAc	pAgAc	LABEL
plaideur	plaider	plaidoirie	0.12597067720112717	0.3946917377567751	0.3558233441171228	pVbAc
plaideur	plaider	plaidoyer	0.12597067720112717	0.6013636859818896	0.29592949358160153	pVbAc
planeur	planer	planage	0.24361878815921528	0.14947275304803584	0.30304446213414327	pAgAc
planeuse	planer	planage	0.011141991403247202	0.14947275304803584	0.05900130519695412	pVbAc
planificateur	planifier	planification	0.46734645066098124	0.5513452911308323	0.5563982840976697	pAgAc
planteur	planter	plantage	0.19244766785763856	0.17184157066621805	0.0033393524073826	pAgVb
planteur	planter	planté	0.19244766785763856	0.6234263034972157	0.2396666367335559	pVbAc
planteur	planter	plantation	0.19244766785763856	0.5217347889862878	0.6353660351919741	pAgAc
planteuse	planter	plantation	0.325806887234456	0.5217347889862878	0.3591560290507297	pVbAc
planteuse	planter	planté	0.325806887234456	0.6234263034972157	0.38923989940101195	pVbAc
planteuse	planter	plantage	0.325806887234456	0.17184157066621805	0.1652614284881769	pAgVb
